id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
36136479,Room 5,257801323,4/24/19,"Washington, District of Columbia, United States",a few days or more,0%,f,American University Park,1,1,t,t,"Washington, District of Columbia, United States",38.9452,-77.09472,Private room in house,Private room,2,,1 shared bath,,1,$40.00 ,1,1125,1,1,1125,1125,1,1125,,354,6,0,0,6/28/19,8/25/19,73,7,9,8,8,9,8,f,1,0.4
36149296,Quiet private room/parking in NE Washington DC 2,269837381,6/19/19,"Washington, District of Columbia, United States",within an hour,88%,f,Langdon,5,5,t,t,,38.92331,-76.98318,Private room in house,Private room,2,,1 shared bath,1,1,$77.00 ,1,4,1,1,1125,1125,1,1125,,90,58,36,0,7/8/19,6/22/20,93,10,9,10,10,9,9,f,5,3.93
36163603,Charming Basement Suite w/ Private Entrance,97149836,9/28/16,"Washington, District of Columbia, United States",N/A,N/A,f,River Terrace,1,1,t,t,"Washington, District of Columbia, United States",38.89172,-76.95229,Entire guest suite,Entire home/apt,2,,1 bath,,1,$55.00 ,1,7,1,1,7,7,1,7,,92,30,17,0,7/13/19,3/15/20,93,10,10,10,10,8,9,t,1,2.05
36165468,"Capitol Hill Hotel, ADA Queen Roll-In Shower",268355135,6/13/19,US,within an hour,92%,f,Capitol Hill,7,7,t,t,,38.88581,-77.00392,Room in boutique hotel,Private room,2,,1 bath,1,1,$142.00 ,1,1125,1,3,1125,1125,1,1125,,241,0,0,0,,,,,,,,,,t,7,
36165711,"Capitol Hill Hotel, Accessible Queen",268355135,6/13/19,US,within an hour,92%,f,Capitol Hill,7,7,t,t,,38.88542,-77.00216,Room in boutique hotel,Private room,2,,1 private bath,1,1,$141.86 ,1,1125,1,3,1125,1125,1,1125,,241,3,3,0,1/12/20,3/14/20,60,6,9,7,7,7,5,t,7,0.35
36166248,"Capitol Hill Hotel, Junior Suite King",268355135,6/13/19,US,within an hour,92%,f,Capitol Hill,7,7,t,t,,38.8871,-77.00207,Room in boutique hotel,Private room,2,,1 bath,1,1,$142.00 ,1,1125,1,3,1125,1125,1,1125,,240,1,1,1,8/29/20,8/29/20,80,10,10,10,10,10,10,t,7,1
36166508,"Capitol Hill Hotel, Superior 2 Bed w/Kitchenette",268355135,6/13/19,US,within an hour,92%,f,Capitol Hill,7,7,t,t,,38.88675,-77.00269,Room in boutique hotel,Private room,2,,1 private bath,1,2,$162.00 ,1,1125,1,3,1125,1125,1,1125,,239,0,0,0,,,,,,,,,,t,7,
36166778,"Capitol Hill Hotel, One Bedroom w/ Kitchenette",268355135,6/13/19,US,within an hour,92%,f,Capitol Hill,7,7,t,t,,38.8854,-77.00338,Room in boutique hotel,Private room,2,,1 private bath,1,1,$192.00 ,1,1125,1,3,1125,1125,1,1125,,241,0,0,0,,,,,,,,,,t,7,
36166901,"Capitol Hill Hotel, One Bedroom w/ Full Kitchen",268355135,6/13/19,US,within an hour,92%,f,Capitol Hill,7,7,t,t,,38.88681,-77.0024,Room in boutique hotel,Private room,2,,1 private bath,1,1,$202.00 ,1,1125,1,3,1125,1125,1,1125,,241,0,0,0,,,,,,,,,,t,7,
36170124,"The St. Gregory Hotel, St. G King Studio",268622314,6/14/19,US,within an hour,70%,f,Dupont Circle,13,13,t,t,,38.9068,-77.04691,Room in boutique hotel,Private room,2,,1 private bath,1,1,$188.00 ,1,1125,1,3,1125,1125,1,1125,,294,6,6,0,12/28/19,7/7/20,87,8,9,10,8,10,9,t,10,0.67
36172402,The W in Bloomingdale,55139900,1/18/16,"Washington, District of Columbia, United States",N/A,N/A,t,Northwest Washington,1,1,t,t,,38.92022,-77.01018,Entire guest suite,Entire home/apt,3,,1 bath,1,1,$94.00 ,2,1125,2,2,1125,1125,2,1125,,1,9,4,0,7/17/19,3/15/20,100,10,10,10,10,10,10,f,1,0.62
36174421,Gorgeous Private Bedroom Steps from Georgetown,188700932,5/9/18,"Washington, District of Columbia, United States",N/A,N/A,t,Glover Park,2,2,t,t,"Washington, District of Columbia, United States",38.919,-77.07689,Private room in townhouse,Private room,2,,1.5 shared baths,1,1,$49.00 ,1,3,1,1,3,3,1,3,,0,37,24,0,7/5/19,12/8/19,100,10,10,10,10,10,10,f,3,2.49
36176762,PRO CLEANED! No More Looking~ WALK Everywhere~ PKG,46630199,10/15/15,"Washington, District of Columbia, United States",within an hour,100%,t,Logan Circle,59,59,t,t,"Washington, District of Columbia, United States",38.90329,-77.00082,Entire apartment,Entire home/apt,4,,1 bath,1,2,$114.00 ,3,89,3,4,89,89,3,89,,78,32,24,2,7/18/19,9/7/20,96,10,10,10,10,10,9,f,49,2.22
36177065,Charming 2BR Condo in Logan Circle w/ Roof Deck,48005494,11/2/15,"San Francisco, California, United States",within a few hours,100%,t,Potrero Hill,1636,1636,t,t,,38.90798,-77.03167,Entire serviced apartment,Entire home/apt,4,,1.5 baths,2,2,$197.00 ,30,1125,30,30,1125,1125,30,1125,,294,1,1,0,5/15/20,5/15/20,100,10,10,10,10,10,10,t,232,0.23
